texto,label
Serviço mal feito e caro.,0
"Muito feliz com o resultado, obrigado!",1
"Muito feliz com o resultado, obrigado!",1
Veio errado e ainda cobraram a mais.,0
"Qualidade horrível, parece de plástico barato.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
Fiquei muito satisfeito com a compra.,1
"Não funcionou como esperado, decepção total.",0
Atendimento demorado e sem solução.,0
"Serviço de péssima qualidade, não vale a pena.",0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Recomendo totalmente, o produto é perfeito.",1
"Recomendo para todos, vale cada centavo.",1
Demorou demais para chegar e a qualidade não é boa.,0
Veio errado e ainda cobraram a mais.,0
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Muito feliz com o resultado, obrigado!",1
"Péssimo atendimento, não resolveram meu problema.",0
Demorou demais para chegar e a qualidade não é boa.,0
Produto chegou antes do prazo e em perfeitas condições.,1
Fiquei muito satisfeito com a compra.,1
O produto chegou com defeito e o suporte não ajudou em nada.,0
Demorou demais para chegar e a qualidade não é boa.,0
Produto chegou antes do prazo e em perfeitas condições.,1
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Produto com falhas, não valeu o preço.",0
"Excelente experiência de compra, com certeza comprarei novamente.",1
Produto chegou antes do prazo e em perfeitas condições.,1
Fiquei muito satisfeito com a compra.,1
"Qualidade horrível, parece de plástico barato.",0
"Demorou demais para entregar, não gostei.",0
"Superou minhas expectativas, parabéns!",1
"Superou minhas expectativas, parabéns!",1
Atendimento demorado e sem solução.,0
Serviço rápido e de qualidade.,1
Nunca mais compro com essa loja.,0
"Qualidade horrível, parece de plástico barato.",0
"Recomendo para todos, vale cada centavo.",1
Atendimento demorado e sem solução.,0
"Serviço de péssima qualidade, não vale a pena.",0
Nunca mais compro com essa loja.,0
"Superou minhas expectativas, parabéns!",1
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Me arrependi da compra, fraco demais.",0
"Recomendo totalmente, o produto é perfeito.",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Recomendo para todos, vale cada centavo.",1
Foi um ótimo atendimento e a entrega foi super rápida.,1
"O filme é incrível, recomendo muito!",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Não funcionou como esperado, decepção total.",0
Demorou demais para chegar e a qualidade não é boa.,0
"Demorou demais para entregar, não gostei.",0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
Atendimento demorado e sem solução.,0
Veio errado e ainda cobraram a mais.,0
Foi um ótimo atendimento e a entrega foi super rápida.,1
O produto chegou com defeito e o suporte não ajudou em nada.,0
"Recomendo para todos, vale cada centavo.",1
"Adorei a experiência, voltarei com certeza.",1
Veio errado e ainda cobraram a mais.,0
"Superou minhas expectativas, parabéns!",1
"Péssimo atendimento, não resolveram meu problema.",0
"Tudo funcionou perfeitamente, nota 10.",1
"Me arrependi da compra, fraco demais.",0
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Demorou demais para entregar, não gostei.",0
"Muito feliz com o resultado, obrigado!",1
"Produto com falhas, não valeu o preço.",0
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Muito feliz com o resultado, obrigado!",1
Foi um ótimo atendimento e a entrega foi super rápida.,1
Serviço mal feito e caro.,0
"Recomendo para todos, vale cada centavo.",1
Produto chegou antes do prazo e em perfeitas condições.,1
"Excelente atendimento, fui muito bem tratado.",1
"Excelente atendimento, fui muito bem tratado.",1
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Me arrependi da compra, fraco demais.",0
"Qualidade horrível, parece de plástico barato.",0
"Muito feliz com o resultado, obrigado!",1
Serviço rápido e de qualidade.,1
O produto chegou com defeito e o suporte não ajudou em nada.,0
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Demorou demais para entregar, não gostei.",0
Produto chegou antes do prazo e em perfeitas condições.,1
"Me arrependi da compra, fraco demais.",0
"Recomendo totalmente, o produto é perfeito.",1
"Superou minhas expectativas, parabéns!",1
"Superou minhas expectativas, parabéns!",1
"Me arrependi da compra, fraco demais.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Não funcionou como esperado, decepção total.",0
O produto chegou com defeito e o suporte não ajudou em nada.,0
"Me arrependi da compra, fraco demais.",0
"Superou minhas expectativas, parabéns!",1
"Péssimo atendimento, não resolveram meu problema.",0
Atendimento demorado e sem solução.,0
"Superou minhas expectativas, parabéns!",1
Serviço rápido e de qualidade.,1
Nunca mais compro com essa loja.,0
"Excelente atendimento, fui muito bem tratado.",1
"Produto com falhas, não valeu o preço.",0
Demorou demais para chegar e a qualidade não é boa.,0
"Produto com falhas, não valeu o preço.",0
"Demorou demais para entregar, não gostei.",0
"Adorei a experiência, voltarei com certeza.",1
Nunca mais compro com essa loja.,0
"Superou minhas expectativas, parabéns!",1
O produto chegou com defeito e o suporte não ajudou em nada.,0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Serviço de péssima qualidade, não vale a pena.",0
"Qualidade horrível, parece de plástico barato.",0
"Excelente atendimento, fui muito bem tratado.",1
"Superou minhas expectativas, parabéns!",1
Produto chegou antes do prazo e em perfeitas condições.,1
"Me arrependi da compra, fraco demais.",0
"Recomendo totalmente, o produto é perfeito.",1
Veio errado e ainda cobraram a mais.,0
Produto chegou antes do prazo e em perfeitas condições.,1
"Recomendo totalmente, o produto é perfeito.",1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"O filme é incrível, recomendo muito!",1
O produto chegou com defeito e o suporte não ajudou em nada.,0
Produto chegou antes do prazo e em perfeitas condições.,1
Serviço rápido e de qualidade.,1
Serviço rápido e de qualidade.,1
"Excelente experiência de compra, com certeza comprarei novamente.",1
Demorou demais para chegar e a qualidade não é boa.,0
Serviço rápido e de qualidade.,1
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Superou minhas expectativas, parabéns!",1
"O filme é incrível, recomendo muito!",1
Produto chegou antes do prazo e em perfeitas condições.,1
Nunca mais compro com essa loja.,0
Foi um ótimo atendimento e a entrega foi super rápida.,1
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Produto com falhas, não valeu o preço.",0
"Qualidade horrível, parece de plástico barato.",0
"Recomendo totalmente, o produto é perfeito.",1
"Superou minhas expectativas, parabéns!",1
"Tudo funcionou perfeitamente, nota 10.",1
Fiquei muito satisfeito com a compra.,1
"Demorou demais para entregar, não gostei.",0
"Excelente atendimento, fui muito bem tratado.",1
"Muito feliz com o resultado, obrigado!",1
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Qualidade horrível, parece de plástico barato.",0
Fiquei muito satisfeito com a compra.,1
Foi um ótimo atendimento e a entrega foi super rápida.,1
Veio errado e ainda cobraram a mais.,0
Nunca mais compro com essa loja.,0
"Me arrependi da compra, fraco demais.",0
"Excelente atendimento, fui muito bem tratado.",1
Nunca mais compro com essa loja.,0
"Recomendo para todos, vale cada centavo.",1
Atendimento demorado e sem solução.,0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
O produto chegou com defeito e o suporte não ajudou em nada.,0
"Péssimo atendimento, não resolveram meu problema.",0
"Qualidade horrível, parece de plástico barato.",0
"Excelente atendimento, fui muito bem tratado.",1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Produto com falhas, não valeu o preço.",0
"Produto com falhas, não valeu o preço.",0
"Adorei a experiência, voltarei com certeza.",1
Demorou demais para chegar e a qualidade não é boa.,0
Nunca mais compro com essa loja.,0
Serviço rápido e de qualidade.,1
"Péssimo atendimento, não resolveram meu problema.",0
Fiquei muito satisfeito com a compra.,1
Infelizmente o produto não correspondeu às minhas expectativas.,0
Demorou demais para chegar e a qualidade não é boa.,0
Produto chegou antes do prazo e em perfeitas condições.,1
"Demorou demais para entregar, não gostei.",0
"Excelente experiência de compra, com certeza comprarei novamente.",1
Veio errado e ainda cobraram a mais.,0
Veio errado e ainda cobraram a mais.,0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Produto com falhas, não valeu o preço.",0
"Muito feliz com o resultado, obrigado!",1
"Produto com falhas, não valeu o preço.",0
"Serviço de péssima qualidade, não vale a pena.",0
Veio errado e ainda cobraram a mais.,0
Produto chegou antes do prazo e em perfeitas condições.,1
Atendimento demorado e sem solução.,0
"Excelente experiência de compra, com certeza comprarei novamente.",1
Demorou demais para chegar e a qualidade não é boa.,0
"Tudo funcionou perfeitamente, nota 10.",1
"Produto com falhas, não valeu o preço.",0
"Excelente atendimento, fui muito bem tratado.",1
"Péssimo atendimento, não resolveram meu problema.",0
Atendimento demorado e sem solução.,0
"Produto com falhas, não valeu o preço.",0
"Não funcionou como esperado, decepção total.",0
"Não funcionou como esperado, decepção total.",0
Foi um ótimo atendimento e a entrega foi super rápida.,1
Atendimento demorado e sem solução.,0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
Atendimento demorado e sem solução.,0
"Tudo funcionou perfeitamente, nota 10.",1
"Superou minhas expectativas, parabéns!",1
Serviço rápido e de qualidade.,1
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Muito feliz com o resultado, obrigado!",1
"Péssimo atendimento, não resolveram meu problema.",0
Produto chegou antes do prazo e em perfeitas condições.,1
Veio errado e ainda cobraram a mais.,0
"Me arrependi da compra, fraco demais.",0
Serviço rápido e de qualidade.,1
"Me arrependi da compra, fraco demais.",0
"Superou minhas expectativas, parabéns!",1
"Péssimo atendimento, não resolveram meu problema.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Serviço de péssima qualidade, não vale a pena.",0
"Serviço de péssima qualidade, não vale a pena.",0
Serviço rápido e de qualidade.,1
Nunca mais compro com essa loja.,0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
Demorou demais para chegar e a qualidade não é boa.,0
"Péssimo atendimento, não resolveram meu problema.",0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Produto com falhas, não valeu o preço.",0
"Serviço de péssima qualidade, não vale a pena.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Adorei a experiência, voltarei com certeza.",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
Veio errado e ainda cobraram a mais.,0
"Qualidade horrível, parece de plástico barato.",0
"Muito feliz com o resultado, obrigado!",1
O produto chegou com defeito e o suporte não ajudou em nada.,0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Serviço de péssima qualidade, não vale a pena.",0
"Adorei a experiência, voltarei com certeza.",1
"Muito feliz com o resultado, obrigado!",1
Atendimento demorado e sem solução.,0
"Me arrependi da compra, fraco demais.",0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Qualidade horrível, parece de plástico barato.",0
Nunca mais compro com essa loja.,0
"Serviço de péssima qualidade, não vale a pena.",0
"Muito feliz com o resultado, obrigado!",1
Fiquei muito satisfeito com a compra.,1
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Adorei a experiência, voltarei com certeza.",1
"Recomendo para todos, vale cada centavo.",1
"Péssimo atendimento, não resolveram meu problema.",0
"Produto com falhas, não valeu o preço.",0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Qualidade horrível, parece de plástico barato.",0
"Excelente atendimento, fui muito bem tratado.",1
Atendimento demorado e sem solução.,0
Demorou demais para chegar e a qualidade não é boa.,0
"Me arrependi da compra, fraco demais.",0
"Adorei a experiência, voltarei com certeza.",1
Veio errado e ainda cobraram a mais.,0
"O filme é incrível, recomendo muito!",1
Demorou demais para chegar e a qualidade não é boa.,0
"Adorei a experiência, voltarei com certeza.",1
"Não funcionou como esperado, decepção total.",0
Veio errado e ainda cobraram a mais.,0
"Produto com falhas, não valeu o preço.",0
"Qualidade horrível, parece de plástico barato.",0
O produto chegou com defeito e o suporte não ajudou em nada.,0
"Péssimo atendimento, não resolveram meu problema.",0
"Muito feliz com o resultado, obrigado!",1
Demorou demais para chegar e a qualidade não é boa.,0
"Adorei a experiência, voltarei com certeza.",1
O produto chegou com defeito e o suporte não ajudou em nada.,0
Atendimento demorado e sem solução.,0
"Recomendo para todos, vale cada centavo.",1
"Superou minhas expectativas, parabéns!",1
Serviço rápido e de qualidade.,1
Produto chegou antes do prazo e em perfeitas condições.,1
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Muito feliz com o resultado, obrigado!",1
Serviço mal feito e caro.,0
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Recomendo para todos, vale cada centavo.",1
Nunca mais compro com essa loja.,0
"Não funcionou como esperado, decepção total.",0
Fiquei muito satisfeito com o atendimento e a entrega!,1
Infelizmente o produto não correspondeu às minhas expectativas.,0
Demorou demais para chegar e a qualidade não é boa.,0
Atendimento demorado e sem solução.,0
"Excelente atendimento, fui muito bem tratado.",1
Serviço mal feito e caro.,0
"Péssimo atendimento, não resolveram meu problema.",0
"Muito feliz com o resultado, obrigado!",1
"Péssimo atendimento, não resolveram meu problema.",0
Fiquei muito satisfeito com o atendimento e a entrega!,1
Produto chegou antes do prazo e em perfeitas condições.,1
Foi um ótimo atendimento e a entrega foi super rápida.,1
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
Nunca mais compro com essa loja.,0
"Excelente experiência de compra, com certeza comprarei novamente.",1
Nunca mais compro com essa loja.,0
Demorou demais para chegar e a qualidade não é boa.,0
"Excelente atendimento, fui muito bem tratado.",1
"Recomendo totalmente, o produto é perfeito.",1
"Adorei a experiência, voltarei com certeza.",1
"Não funcionou como esperado, decepção total.",0
Demorou demais para chegar e a qualidade não é boa.,0
Serviço mal feito e caro.,0
Demorou demais para chegar e a qualidade não é boa.,0
"Muito feliz com o resultado, obrigado!",1
"Produto com falhas, não valeu o preço.",0
"O filme é incrível, recomendo muito!",1
"Péssimo atendimento, não resolveram meu problema.",0
"Demorou demais para entregar, não gostei.",0
"Péssimo atendimento, não resolveram meu problema.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Excelente atendimento, fui muito bem tratado.",1
Demorou demais para chegar e a qualidade não é boa.,0
"Me arrependi da compra, fraco demais.",0
Serviço mal feito e caro.,0
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Recomendo totalmente, o produto é perfeito.",1
Produto chegou antes do prazo e em perfeitas condições.,1
"Adorei a experiência, voltarei com certeza.",1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
Produto chegou antes do prazo e em perfeitas condições.,1
"Tudo funcionou perfeitamente, nota 10.",1
"Excelente atendimento, fui muito bem tratado.",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Recomendo para todos, vale cada centavo.",1
"Adorei a experiência, voltarei com certeza.",1
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Excelente experiência de compra, com certeza comprarei novamente.",1
Infelizmente o produto não correspondeu às minhas expectativas.,0
O produto chegou com defeito e o suporte não ajudou em nada.,0
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Produto com falhas, não valeu o preço.",0
Atendimento demorado e sem solução.,0
"Não funcionou como esperado, decepção total.",0
"Péssimo atendimento, não resolveram meu problema.",0
Veio errado e ainda cobraram a mais.,0
Demorou demais para chegar e a qualidade não é boa.,0
"Muito feliz com o resultado, obrigado!",1
"Qualidade horrível, parece de plástico barato.",0
"Produto com falhas, não valeu o preço.",0
Foi um ótimo atendimento e a entrega foi super rápida.,1
Demorou demais para chegar e a qualidade não é boa.,0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
Serviço mal feito e caro.,0
"Produto com falhas, não valeu o preço.",0
"Recomendo para todos, vale cada centavo.",1
Foi um ótimo atendimento e a entrega foi super rápida.,1
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Me arrependi da compra, fraco demais.",0
"Qualidade horrível, parece de plástico barato.",0
O produto chegou com defeito e o suporte não ajudou em nada.,0
Infelizmente o produto não correspondeu às minhas expectativas.,0
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Excelente atendimento, fui muito bem tratado.",1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
Serviço rápido e de qualidade.,1
Demorou demais para chegar e a qualidade não é boa.,0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Recomendo totalmente, o produto é perfeito.",1
Veio errado e ainda cobraram a mais.,0
"Adorei a experiência, voltarei com certeza.",1
"Recomendo para todos, vale cada centavo.",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Me arrependi da compra, fraco demais.",0
"Recomendo para todos, vale cada centavo.",1
"Tudo funcionou perfeitamente, nota 10.",1
"Não funcionou como esperado, decepção total.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Superou minhas expectativas, parabéns!",1
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Adorei a experiência, voltarei com certeza.",1
"Serviço de péssima qualidade, não vale a pena.",0
"Tudo funcionou perfeitamente, nota 10.",1
"Recomendo para todos, vale cada centavo.",1
"Recomendo totalmente, o produto é perfeito.",1
"Tudo funcionou perfeitamente, nota 10.",1
Fiquei muito satisfeito com a compra.,1
"Demorou demais para entregar, não gostei.",0
Demorou demais para chegar e a qualidade não é boa.,0
"Serviço de péssima qualidade, não vale a pena.",0
O produto chegou com defeito e o suporte não ajudou em nada.,0
Infelizmente o produto não correspondeu às minhas expectativas.,0
Serviço rápido e de qualidade.,1
Serviço rápido e de qualidade.,1
Foi um ótimo atendimento e a entrega foi super rápida.,1
"O filme é incrível, recomendo muito!",1
"Péssimo atendimento, não resolveram meu problema.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
Veio errado e ainda cobraram a mais.,0
Nunca mais compro com essa loja.,0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
Fiquei muito satisfeito com a compra.,1
Serviço rápido e de qualidade.,1
"Produto com falhas, não valeu o preço.",0
"Péssimo atendimento, não resolveram meu problema.",0
Serviço rápido e de qualidade.,1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Demorou demais para entregar, não gostei.",0
"Superou minhas expectativas, parabéns!",1
"Qualidade horrível, parece de plástico barato.",0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Tudo funcionou perfeitamente, nota 10.",1
"Recomendo para todos, vale cada centavo.",1
Fiquei muito satisfeito com a compra.,1
"Superou minhas expectativas, parabéns!",1
"Produto com falhas, não valeu o preço.",0
"O filme é incrível, recomendo muito!",1
"Recomendo para todos, vale cada centavo.",1
Serviço rápido e de qualidade.,1
"Excelente atendimento, fui muito bem tratado.",1
Demorou demais para chegar e a qualidade não é boa.,0
"Demorou demais para entregar, não gostei.",0
Demorou demais para chegar e a qualidade não é boa.,0
"Péssimo atendimento, não resolveram meu problema.",0
"Me arrependi da compra, fraco demais.",0
"O filme é incrível, recomendo muito!",1
Serviço mal feito e caro.,0
"Recomendo para todos, vale cada centavo.",1
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Demorou demais para entregar, não gostei.",0
"Recomendo para todos, vale cada centavo.",1
Atendimento demorado e sem solução.,0
"Produto com falhas, não valeu o preço.",0
"Demorou demais para entregar, não gostei.",0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
Produto chegou antes do prazo e em perfeitas condições.,1
"Recomendo para todos, vale cada centavo.",1
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Recomendo totalmente, o produto é perfeito.",1
Infelizmente o produto não correspondeu às minhas expectativas.,0
Produto chegou antes do prazo e em perfeitas condições.,1
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Me arrependi da compra, fraco demais.",0
"O filme é incrível, recomendo muito!",1
Nunca mais compro com essa loja.,0
Atendimento demorado e sem solução.,0
"O filme é incrível, recomendo muito!",1
"Péssimo atendimento, não resolveram meu problema.",0
Atendimento demorado e sem solução.,0
"Péssimo atendimento, não resolveram meu problema.",0
Serviço mal feito e caro.,0
"Demorou demais para entregar, não gostei.",0
Serviço mal feito e caro.,0
"Muito feliz com o resultado, obrigado!",1
"Recomendo totalmente, o produto é perfeito.",1
Fiquei muito satisfeito com a compra.,1
Foi um ótimo atendimento e a entrega foi super rápida.,1
Serviço mal feito e caro.,0
"Adorei a experiência, voltarei com certeza.",1
"Superou minhas expectativas, parabéns!",1
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Tudo funcionou perfeitamente, nota 10.",1
"Superou minhas expectativas, parabéns!",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Excelente atendimento, fui muito bem tratado.",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Qualidade horrível, parece de plástico barato.",0
"Demorou demais para entregar, não gostei.",0
"Adorei a experiência, voltarei com certeza.",1
"Adorei a experiência, voltarei com certeza.",1
Infelizmente o produto não correspondeu às minhas expectativas.,0
Fiquei muito satisfeito com a compra.,1
"Adorei a experiência, voltarei com certeza.",1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Péssimo atendimento, não resolveram meu problema.",0
Demorou demais para chegar e a qualidade não é boa.,0
"Recomendo totalmente, o produto é perfeito.",1
Nunca mais compro com essa loja.,0
"Recomendo para todos, vale cada centavo.",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
Serviço rápido e de qualidade.,1
Demorou demais para chegar e a qualidade não é boa.,0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Não funcionou como esperado, decepção total.",0
Serviço mal feito e caro.,0
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Muito feliz com o resultado, obrigado!",1
Serviço mal feito e caro.,0
Atendimento demorado e sem solução.,0
Serviço mal feito e caro.,0
Serviço mal feito e caro.,0
Demorou demais para chegar e a qualidade não é boa.,0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
Produto chegou antes do prazo e em perfeitas condições.,1
"Produto com falhas, não valeu o preço.",0
